,open,high,low,close,volume
20061213,34500,35100,34400,34850,3018846
20061212,35250,35350,34400,34600,3554225
20061211,35000,35550,34950,35350,3018348
20061208,35800,35850,34900,35000,6501090
20061207,36250,36600,36150,36350,2247778
20061206,36950,36950,35750,36400,3621729
20061205,36950,37500,36550,36550,5162364
20061204,35900,36750,35800,36450,4268006
20061201,35450,36100,35150,36050,3049086
20061130,35600,35850,35300,35300,2399904
20061129,34950,35250,34900,35050,2080426
20061128,34600,35100,34600,34800,2755030
20061127,35500,35600,35000,35400,3022008
20061124,35550,35650,35000,35650,2390727
20061123,35900,35950,35400,35600,2666078
20061122,34950,35800,34950,35750,3459669
20061121,34900,35300,34750,34950,2328910
20061120,35850,35950,34900,35000,3473368
20061117,35600,35900,35450,35850,2590574
20061116,36300,36350,35550,35600,3737627
20061115,36050,36200,35750,36000,4885944
20061114,35600,36050,35350,35400,5355096
20061113,34450,35200,34450,35100,4926680
20061110,34350,34650,34150,34200,3184885
20061109,34700,34950,34100,34700,4721786
20061108,34550,35200,34500,34500,5653025
20061107,34150,34350,33800,34000,4629830
20061106,33500,33900,33050,33650,4718196
20061103,34750,34800,33600,33700,6289428
20061102,33850,34850,33800,34800,5600999
20061101,34300,34450,34050,34050,4500012
20061031,33450,34200,33100,34200,5918013
20061030,33700,33900,33200,33300,8110194
20061027,35700,35800,33900,34350,11439427
20061026,35700,35900,35050,35550,7359368
20061025,35700,35800,34950,35350,7837200
20061024,36400,36800,35800,36000,5780357
20061023,36150,36600,35750,36100,5707334
20061020,36200,36450,35900,36100,6110405
20061019,37100,37450,36200,36200,4723708
20061018,36950,37450,36450,37350,3868978
20061017,37500,37600,36550,37300,4272956
20061016,37700,38150,37150,37300,5476640
20061013,36600,37300,36400,37300,5175251
20061012,35200,35900,34850,35850,4066172
20061011,34700,35350,34350,35200,4928237
20061010,34800,35550,34800,35050,6030713
20061009,36300,36750,34100,34950,9551557
20061004,36800,37450,36100,36500,4915087
20061002,37450,37700,37000,37100,2641626
20060929,37200,37650,36900,37300,3886480
20060928,36600,37450,36600,37000,5362142
20060927,37000,37100,36250,36300,6744334
20060926,37400,37450,36050,36200,6536446
20060925,36550,37500,36550,36950,6695668
20060922,37600,38100,36400,36750,8430714
20060921,39000,39150,37850,38150,6597914
20060920,39450,39550,38050,38500,10850995
20060919,40200,40300,39750,39900,3880846
20060918,39000,40250,39000,40100,7301489
20060915,38850,39350,38500,39100,4998537
20060914,38400,38950,38100,38900,6599588
20060913,38100,38600,37850,38350,7923269
20060912,37150,37600,36800,37200,4476640
20060911,37300,37750,36700,36700,4462638
20060908,36050,37000,36000,37000,3254058
20060907,35800,36300,35700,36300,4643237
20060906,37200,37200,36400,36400,3311073
20060905,37700,37850,36850,37000,4693408
20060904,38000,38100,37550,37850,3752697
20060901,36950,37550,36600,37500,4748788
20060831,36550,37150,36150,36800,5582834
20060830,36700,36700,36200,36300,4064666
20060829,36700,37000,36150,36300,5642090
20060828,36000,36800,35950,36000,7983548
20060825,34850,35950,34850,35650,7700470
20060824,33800,34500,33750,34500,3270831
20060823,34450,34500,33900,34000,3190030
20060822,34350,34750,34300,34500,3534084
20060821,35100,35250,34100,34500,3518985
20060818,34150,35300,33750,34900,8936984
20060817,33500,34650,33350,34400,9859517
20060816,33400,33450,32750,32900,5780403
20060814,32600,32900,32150,32800,2284334
20060811,33100,33450,32500,32550,3812380
20060810,32900,33050,32350,32700,4833179
20060809,32900,33350,32850,33200,2943007
20060808,32800,33200,32550,33200,3642256
20060807,33800,33900,32800,32800,2778270
20060804,33400,33800,33350,33650,2951013
20060803,34000,34050,33000,33100,4139510
20060802,32700,33300,32450,33200,3076284
20060801,32600,33200,32600,32900,9772578
20060731,32400,32950,32200,32500,4885154
20060728,31850,32050,31650,31950,2400341
20060727,31800,32150,31500,31800,3811182
20060726,32200,32400,31750,31800,2398267
20060725,32450,32750,31850,32000,5702684
20060724,31700,31800,31300,31650,3582142
20060721,31000,32100,30950,32100,4640404
20060720,31200,31550,30850,31300,7326404
20060719,30900,31000,30400,30500,3424861
20060718,30500,31050,30350,30600,4944210
20060714,31250,31500,30550,30900,5398288
20060713,31750,32300,31600,31900,4188448
20060712,31750,32450,31450,32100,5122998
20060711,30600,32000,30300,31750,7134221
20060710,30200,31150,30150,30950,3920218
20060707,30800,30850,30250,30350,3541582
20060706,30400,30700,29950,30500,4934692
20060705,29900,31050,29900,30450,4391382
20060704,31300,31450,30300,30600,5128314
20060703,31300,31550,30750,31000,5694107
20060630,31100,31350,30400,30750,8561922
20060629,30500,30500,29750,29950,5275816
20060628,28900,30050,28750,29750,5544439
20060627,29600,30200,29000,29500,10346157
20060626,28250,29600,28150,29600,44078345
20060623,26900,27400,26750,27100,10475595
20060622,27100,27450,26150,26200,19015537
20060621,28350,28450,26800,27350,7006583
20060620,28500,28700,27900,28250,5644553
20060619,29450,29450,28750,29100,4836852
20060616,30150,30350,29700,29700,5537337
20060615,29400,29550,28750,28850,3790955
20060614,28750,29200,28450,29050,5382382
20060613,29300,29400,28750,28900,4780389
20060612,29700,30050,29350,29950,2484328
20060609,30600,30650,29200,30050,4039837
20060608,30100,30700,29900,30100,4330415
20060607,30600,30950,30300,30600,4594225
20060605,32150,32200,31200,31500,2457601
20060602,31950,32300,31300,31750,4473018
20060601,31800,32300,31050,31250,3390518
20060530,32400,32900,31400,32000,3825151
20060529,32650,33100,32000,32200,3461484
20060526,32400,33050,32400,32400,4966475
20060525,33400,33500,31700,31900,5038621
20060524,32600,33250,31950,33150,4983441
20060523,32000,33500,32000,32900,6855214
20060522,34600,34650,32600,32650,5921693
20060519,34300,34500,33350,34100,5226466
20060518,33000,34850,32800,34600,9386109
20060517,33300,34700,33150,34300,11315562
20060516,33500,33550,32200,32800,5206313
20060515,32400,33500,32050,33500,5394732
20060512,31650,33000,31300,32850,5895158
20060511,31800,32850,31800,32250,4563593
20060510,31750,32300,31250,32000,6035374
20060509,32000,33500,31800,32850,9169933
20060508,32000,32000,31400,31500,4747563
20060504,30800,31200,30100,31200,5370080
20060503,31400,31700,31000,31000,4496568
20060502,32600,32900,30150,31100,13177549
20060428,33600,33750,32650,32950,6174477
20060427,33100,34050,32950,33900,7117880
20060426,33300,33400,32600,33250,5080201
20060425,32800,33500,32800,33250,6627562
20060424,34300,34350,33100,33900,5915064
20060421,34300,34500,34000,34250,7224497
20060420,33900,34200,33550,33550,6055923
20060419,33800,34550,33450,33550,11248553
20060418,32650,33300,32500,32950,6400912
20060417,32750,33150,32300,33000,6812613
20060414,31450,32500,30950,32500,9628229
20060413,30300,31150,30300,31100,5768549
20060412,29500,30500,29450,30400,5377226
20060411,29950,30200,29300,29700,5852860
20060410,30550,30950,30050,30350,5323793
20060407,30900,31150,30350,30900,5856184
20060406,31450,31650,30800,30800,7380624
20060405,31100,31250,30000,30600,7730877
20060404,30100,31100,29900,30850,11517886
20060403,29300,29600,29150,29600,4496960
20060331,28300,29600,28150,28900,8036603
20060330,28200,28800,28100,28300,6601655
20060329,27300,27800,26950,27650,4554153
20060328,27050,27850,26850,27650,5474390
20060327,26600,27550,26600,27450,7095042
20060324,26350,27150,26200,26550,7564695
20060323,27700,27800,26450,27200,7147856
20060322,27600,27950,27000,27350,8765386
20060321,28800,29500,28300,28400,6547257
20060320,28650,29300,28400,28700,5194601
20060317,27550,28850,27550,28600,7943736
20060316,28300,28600,26850,27700,12307477
20060315,28700,28850,28050,28350,7609587
20060314,28950,29150,27950,28350,8784830
20060313,29700,29850,28750,29050,8109698
20060310,28800,30050,28800,29400,10007237
20060309,29400,29750,29000,29100,8551943
20060308,28500,29450,28350,29450,8627940
20060307,30100,30250,28850,29150,13968020
20060306,30350,31150,29950,31000,8609534
20060303,31700,31900,29850,30500,12898998
20060302,33750,33850,31850,32050,7713450
20060228,33000,33600,32950,33250,6471233
20060227,32750,33100,32200,32700,4892289
20060224,32150,32900,31650,32900,8507219
20060223,31150,32500,31100,32200,10433443
20060222,30350,31150,30350,30950,9849932
20060221,30800,30950,30100,30300,7633217
20060220,30600,31400,30600,31000,7060460
20060217,30700,31500,30600,31200,11828324
20060216,29500,30750,29300,30350,15694423
20060215,33000,33100,28950,28950,30750375
20060214,32450,33100,32000,33000,9133012
20060213,34100,34400,32800,33000,10805711
20060210,34850,35150,33750,34400,8404537
20060209,35400,35500,34550,34900,7423868
20060208,35050,35900,34650,34700,9523601
20060207,35500,36300,35250,35250,12338416
20060206,34300,35650,33700,35450,12325246
20060203,35150,36050,34950,35000,11244571
20060202,36350,36650,34950,36250,14279598
20060201,36850,37250,34900,35500,14930820
20060131,37700,38700,36750,37300,18154320
20060127,37350,37750,36250,37500,14503649
20060126,34900,36750,34300,36750,18925359
20060125,35300,35850,34000,34000,15537952
20060124,31850,33500,30700,33500,15974226
20060123,31300,32600,29600,31150,15530465
20060120,34400,35200,32100,32300,16771296
20060119,33300,34650,33250,34400,18428496
20060118,35200,35700,32850,33000,19665484
20060117,37650,38100,35650,36200,10257599
20060116,38700,38750,37450,37750,8045638
20060113,36900,38100,36400,38100,10008442
20060112,37950,38450,37400,37700,9289258
20060111,37950,38150,36600,37350,9532302
20060110,37600,38600,37450,38000,16155952
20060109,35600,36750,35450,36750,13652495
20060106,34950,35850,34850,35050,12707206
20060105,35900,36000,33600,34600,21566179
20060104,38250,39050,35300,35300,23140068
20060103,38100,38400,36850,38100,13834043
20060102,36100,37650,35850,37600,13366196
20051229,33350,35300,33350,35300,12846374
20051228,32600,33600,32500,33200,8378076
20051227,34000,34100,32950,33000,10205945
20051226,33900,34050,32950,33850,13141028
20051223,33950,34400,33050,33450,14205763
20051222,31500,34150,31400,32900,27211979
20051221,30400,31300,30350,31000,13220569
20051220,30300,31050,30100,30300,12219195
20051219,29300,30850,28800,30700,16470978
20051216,29000,30200,28450,28900,15461504
20051215,28250,29800,27800,29450,23126083
20051214,26300,27750,26250,27450,21078644
20051213,26100,26650,25950,26050,10798436
20051212,25650,26250,25650,25700,10240490
20051209,26500,27050,25700,25700,12589275
20051208,26400,27050,25800,26600,15973488
20051207,24750,27400,24250,26600,33017389
20051206,23950,25000,23450,24750,11957523
20051205,23900,24400,23850,24200,9915868
20051202,23550,23800,23250,23600,13751933
20051201,21900,22650,21900,22600,10351177
20051130,21750,22100,21700,21900,9063805
20051129,21800,21950,21350,21750,7891004
20051128,21100,22100,21000,21950,14492305
20051125,21350,21750,21050,21100,10973571
20051124,22200,22350,21250,21400,13015120
20051123,21850,22350,21700,22150,16006345
20051122,22800,23400,21150,21450,27815334
20051121,23650,23850,23200,23400,7496586
20051118,24550,24600,23000,23250,12485615
20051117,24300,24550,23850,24250,6512567
20051116,23900,24800,23900,24250,11228000
20051115,23650,24000,23200,23950,8906111
20051114,22900,24100,22750,23850,16150220
20051111,22500,22800,22250,22750,10273758
20051110,21850,22150,21800,22050,6719368
20051109,21550,22150,21550,21800,6406155
20051108,22100,22150,21500,21700,6461116
20051107,21450,22000,21300,22000,15054011
20051104,20500,21300,20400,21150,18118348
20051103,20200,20400,19950,20000,11475802
20051102,19600,19750,19300,19650,9642744
20051101,19200,19800,19200,19550,15149725
20051031,19300,19400,19050,19050,10932690
20051028,19350,19650,19000,19000,11611441
20051027,19850,20350,19600,19700,67108666
20051026,22500,22500,20850,20950,20171588
20051025,23500,23600,22550,22600,6523805
20051024,22900,23300,22700,23300,4826412
20051021,21850,22750,21850,22700,4986769
20051020,21800,22300,21650,22250,6525718
20051019,21750,22250,21450,21500,5454270
20051018,22400,22700,21750,22050,5833208
20051017,23350,23600,22300,22300,5672245
20051014,23900,24000,22950,23350,8738211
20051013,23100,24100,22600,23800,14352743
20051012,23850,24150,23050,23200,8445817
20051011,22450,23750,22450,23750,7190139
20051010,22600,22900,22400,22650,5062397
20051007,22600,22950,22400,22400,4973105
20051006,22900,23350,22700,22750,7670390
20051005,22700,23100,22550,23000,7060851
20051004,23100,23350,22350,22500,8475208
20050930,24000,24050,23000,23000,7730920
20050929,23600,23850,23150,23800,5127976
20050928,23800,24100,23200,23600,7136340
20050927,24150,24650,23750,24000,7674634
20050926,23100,23800,23100,23800,6178728
